Business_Name,Parameter,Value,Notes
Crypto_Whale,Market_Sensitivity,Very High — directly correlated to global crypto market sentiment and macroeconomic risk-on/risk-off cycles,Sensitivity to economic conditions
Crypto_Whale,Annual_Return_Goal,269.67%,Realistic annual return target
Crypto_Whale,Growth_Phase,Expansion,Early_Growth/Maturity/Expansion
Crypto_Whale,Exit_Strategy,Periodic_Rebalancing,Long-term_Hold/Periodic_Rebalancing
Crypto_Whale,Monthly_Running_Cost_Pct,1.8%,Monthly platform fee paid directly by client (1.8% of starting capital). Does not affect trading capital.
Crypto_Whale,Monthly_Running_Cost_USD,"$44,100.00",Monthly fee in USD paid directly to platform (outside of broker account)
Crypto_Whale,Annual_Running_Cost_USD,"$529,200.00","Total annual platform fee (12 x monthly). Paid separately, not deducted from trading capital."
Crypto_Whale,Running_Cost_Breakdown,"Covers exchange fees, custody solutions, quant team salaries, AI infrastructure hosting, compliance, and on-chain gas costs",Key cost line items included in the 8% monthly rate
Crypto_Whale,Net_Capital_After_Year1_Cost,"$2,450,000.00",Trading capital remains unchanged. Running costs are paid separately by client and do not impact seed capital.
Crypto_Whale,Break_Even_Return_Required,96.00%,Minimum gross return needed to cover annual running costs
,,,
Electronics_Company,Starting_Capital_USD,"$250,000.00",Initial investment amount
Electronics_Company,Business_Size,Medium,Small/Medium/Large_Enterprise
Electronics_Company,Market_Position,Established,Startup/Established/Market_Leader
Electronics_Company,Risk_Tolerance,Moderate(5-10%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Electronics_Company,Volatility_Level,Medium,Low/Medium/High
Electronics_Company,Maximum_Drawdown,15%,Maximum acceptable loss percentage
Electronics_Company,Hedge_Instruments,Diversification/Futures,Options/Futures/Diversification/Insurance
Electronics_Company,Hedge_Ratio,30%,Percentage of exposure hedged
Electronics_Company,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Electronics_Company,Revenue_Model,Cyclical,Seasonal/Cyclical/Growth/Defensive
Electronics_Company,Key_Drivers,"USD/NGN FX rate, import duties on electronics, consumer disposable income, brand availability, warranty logistics",Main factors affecting performance
Electronics_Company,Market_Sensitivity,High — discretionary electronics purchases drop sharply during economic downturns and FX spikes,Sensitivity to economic conditions
Electronics_Company,Annual_Return_Goal,201.54%,Realistic annual return target
Electronics_Company,Growth_Phase,Maturity,Early_Growth/Maturity/Expansion
Electronics_Company,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Electronics_Company,Monthly_Running_Cost_Pct,2.1%,Monthly platform fee paid directly by client (2.1% of starting capital). Does not affect trading capital.
Electronics_Company,Monthly_Running_Cost_USD,"$5,250.00",Monthly fee in USD paid directly to platform (outside of broker account)
Electronics_Company,Annual_Running_Cost_USD,"$63,000.00","Total annual platform fee (12 x monthly). Paid separately, not deducted from trading capital."
Electronics_Company,Running_Cost_Breakdown,"Covers showroom lease, inventory financing cost, technical staff, warranty service centre operations, and system deployment fees",Key cost line items included in the 8% monthly rate
Electronics_Company,Net_Capital_After_Year1_Cost,"$250,000.00",Trading capital remains unchanged. Running costs are paid separately by client and do not impact seed capital.
Electronics_Company,Break_Even_Return_Required,96.00%,Minimum gross return needed to cover annual running costs
,,,
Insurance_Company,Starting_Capital_USD,"$1,170,310.00",Initial investment amount
Insurance_Company,Business_Size,Large,Small/Medium/Large_Enterprise
Insurance_Company,Market_Position,Established,Startup/Established/Market_Leader
Insurance_Company,Risk_Tolerance,Conservative(2-5%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Insurance_Company,Volatility_Level,Low,Low/Medium/High
Insurance_Company,Maximum_Drawdown,8%,Maximum acceptable loss percentage
Insurance_Company,Hedge_Instruments,Diversification/Insurance/Options,Options/Futures/Diversification/Insurance
Insurance_Company,Hedge_Ratio,60%,Percentage of exposure hedged
Insurance_Company,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Insurance_Company,Revenue_Model,Defensive,Seasonal/Cyclical/Growth/Defensive
Insurance_Company,Key_Drivers,"Premium collection rates, claims frequency, regulatory capital requirements (NAICOM), investment yield on float, policyholder retention",Main factors affecting performance
Insurance_Company,Market_Sensitivity,Low-Medium — insurance demand is relatively stable but claims spike during macro shocks,Sensitivity to economic conditions
Insurance_Company,Annual_Return_Goal,199.50%,Realistic annual return target
Insurance_Company,Growth_Phase,Maturity,Early_Growth/Maturity/Expansion
Insurance_Company,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Insurance_Company,Monthly_Running_Cost_Pct,1.8%,Monthly platform fee paid directly by client (1.8% of starting capital). Does not affect trading capital.
Insurance_Company,Monthly_Running_Cost_USD,"$21,065.58",Monthly fee in USD paid directly to platform (outside of broker account)
Insurance_Company,Annual_Running_Cost_USD,"$252,786.96","Total annual platform fee (12 x monthly). Paid separately, not deducted from trading capital."
Insurance_Company,Running_Cost_Breakdown,"Covers actuarial staff, regulatory compliance (NAICOM), claims processing infrastructure, reinsurance premiums, and platform running costs",Key cost line items included in the 8% monthly rate
Insurance_Company,Net_Capital_After_Year1_Cost,"$1,170,310.00",Trading capital remains unchanged. Running costs are paid separately by client and do not impact seed capital.
Insurance_Company,Break_Even_Return_Required,96.00%,Minimum gross return needed to cover annual running costs
,,,
Jewelry_Company,Starting_Capital_USD,"$730,000.00",Initial investment amount
Jewelry_Company,Business_Size,Medium,Small/Medium/Large_Enterprise
Jewelry_Company,Market_Position,Established,Startup/Established/Market_Leader
Jewelry_Company,Risk_Tolerance,Moderate(5-10%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Jewelry_Company,Volatility_Level,Medium,Low/Medium/High
Jewelry_Company,Maximum_Drawdown,14%,Maximum acceptable loss percentage
Jewelry_Company,Hedge_Instruments,Futures/Insurance,Options/Futures/Diversification/Insurance
Jewelry_Company,Hedge_Ratio,45%,Percentage of exposure hedged
Jewelry_Company,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Jewelry_Company,Revenue_Model,Seasonal,Seasonal/Cyclical/Growth/Defensive
Jewelry_Company,Key_Drivers,"Gold spot price (XAU), diamond and gemstone supply chain, luxury consumer sentiment, festive/wedding season cycles, FX import costs",Main factors affecting performance
Jewelry_Company,Market_Sensitivity,High — luxury category; demand contracts sharply during recessions but recovers faster than other luxury goods in West Africa,Sensitivity to economic conditions
Jewelry_Company,Annual_Return_Goal,297.97%,Realistic annual return target
Jewelry_Company,Growth_Phase,Expansion,Early_Growth/Maturity/Expansion
Jewelry_Company,Exit_Strategy,Periodic_Rebalancing,Long-term_Hold/Periodic_Rebalancing
Jewelry_Company,Monthly_Running_Cost_Pct,2.1%,Monthly platform fee paid directly by client (2.1% of starting capital). Does not affect trading capital.
Jewelry_Company,Monthly_Running_Cost_USD,"$15,330.00",Monthly fee in USD paid directly to platform (outside of broker account)
Jewelry_Company,Annual_Running_Cost_USD,"$183,960.00","Total annual platform fee (12 x monthly). Paid separately, not deducted from trading capital."
Jewelry_Company,Running_Cost_Breakdown,"Covers boutique rent (Lekki/VI), secure vault and transport, master craftsmen wages, gold hedging costs, and system deployment fees",Key cost line items included in the 8% monthly rate
Jewelry_Company,Net_Capital_After_Year1_Cost,"$730,000.00",Trading capital remains unchanged. Running costs are paid separately by client and do not impact seed capital.
Jewelry_Company,Break_Even_Return_Required,96.00%,Minimum gross return needed to cover annual running costs
,,,
Energy_Power_Company,Starting_Capital_USD,"$3,500,000.00",Initial investment amount
Energy_Power_Company,Business_Size,Large,Small/Medium/Large_Enterprise
Energy_Power_Company,Market_Position,Market_Leader,Startup/Established/Market_Leader
Energy_Power_Company,Risk_Tolerance,Moderate(5-10%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Energy_Power_Company,Volatility_Level,Medium,Low/Medium/High
Energy_Power_Company,Maximum_Drawdown,12%,Maximum acceptable loss percentage
Energy_Power_Company,Hedge_Instruments,Futures/Options/Diversification,Options/Futures/Diversification/Insurance
Energy_Power_Company,Hedge_Ratio,55%,Percentage of exposure hedged
Energy_Power_Company,Hedge_Frequency,Weekly,Daily/Weekly/Monthly adjustments
Energy_Power_Company,Revenue_Model,Defensive,Seasonal/Cyclical/Growth/Defensive
Energy_Power_Company,Key_Drivers,"Crude oil & gas price, NERC regulatory environment, grid infrastructure reliability, power purchase agreement (PPA) terms, FX cost of equipment imports",Main factors affecting performance
Energy_Power_Company,Market_Sensitivity,Medium — energy is essential infrastructure but margins are exposed to regulatory pricing caps and FX-denominated equipment costs,Sensitivity to economic conditions
Energy_Power_Company,Annual_Return_Goal,409.38%,Realistic annual return target
Energy_Power_Company,Growth_Phase,Expansion,Early_Growth/Maturity/Expansion
Energy_Power_Company,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Energy_Power_Company,Monthly_Running_Cost_Pct,1.8%,Monthly platform fee paid directly by client (1.8% of starting capital). Does not affect trading capital.
Energy_Power_Company,Monthly_Running_Cost_USD,"$63,000.00",Monthly fee in USD paid directly to platform (outside of broker account)
Energy_Power_Company,Annual_Running_Cost_USD,"$756,000.00","Total annual platform fee (12 x monthly). Paid separately, not deducted from trading capital."
Energy_Power_Company,Running_Cost_Breakdown,"Covers turbine/generator maintenance, fuel procurement, NERC licensing, grid interconnection fees, engineering staff, and AI platform deployment",Key cost line items included in the 8% monthly rate
Energy_Power_Company,Net_Capital_After_Year1_Cost,"$3,500,000.00",Trading capital remains unchanged. Running costs are paid separately by client and do not impact seed capital.
Energy_Power_Company,Break_Even_Return_Required,96.00%,Minimum gross return needed to cover annual running costs
,,,
Logistics_Company,Starting_Capital_USD,"$320,000.00",Initial investment amount
Logistics_Company,Business_Size,Medium,Small/Medium/Large_Enterprise
Logistics_Company,Market_Position,Established,Startup/Established/Market_Leader
Logistics_Company,Risk_Tolerance,Moderate(5-10%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Logistics_Company,Volatility_Level,Medium,Low/Medium/High
Logistics_Company,Maximum_Drawdown,13%,Maximum acceptable loss percentage
Logistics_Company,Hedge_Instruments,Insurance/Diversification,Options/Futures/Diversification/Insurance
Logistics_Company,Hedge_Ratio,35%,Percentage of exposure hedged
Logistics_Company,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Logistics_Company,Revenue_Model,Cyclical,Seasonal/Cyclical/Growth/Defensive
Logistics_Company,Key_Drivers,"Fuel prices, road infrastructure quality, e-commerce volume growth, driver availability, vehicle maintenance costs, port congestion at Apapa",Main factors affecting performance
Logistics_Company,Market_Sensitivity,High — fuel costs and FX directly compress logistics margins; highly sensitive to economic activity levels,Sensitivity to economic conditions
Logistics_Company,Annual_Return_Goal,188.75%,Realistic annual return target
Logistics_Company,Growth_Phase,Early_Growth,Early_Growth/Maturity/Expansion
Logistics_Company,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Logistics_Company,Monthly_Running_Cost_Pct,2.1%,Monthly platform fee paid directly by client (2.1% of starting capital). Does not affect trading capital.
Logistics_Company,Monthly_Running_Cost_USD,"$6,720.00",Monthly fee in USD paid directly to platform (outside of broker account)
Logistics_Company,Annual_Running_Cost_USD,"$80,640.00","Total annual platform fee (12 x monthly). Paid separately, not deducted from trading capital."
Logistics_Company,Running_Cost_Breakdown,"Covers fleet fuel and maintenance, driver wages, route optimisation software, third-party logistics partnerships, insurance premiums, and system fees",Key cost line items included in the 8% monthly rate
Logistics_Company,Net_Capital_After_Year1_Cost,"$320,000.00",Trading capital remains unchanged. Running costs are paid separately by client and do not impact seed capital.
Logistics_Company,Break_Even_Return_Required,96.00%,Minimum gross return needed to cover annual running costs
,,,
Storage_Warehousing,Starting_Capital_USD,"$150,000.00",Initial investment amount
Storage_Warehousing,Business_Size,Small,Small/Medium/Large_Enterprise
Storage_Warehousing,Market_Position,Startup,Startup/Established/Market_Leader
Storage_Warehousing,Risk_Tolerance,Conservative(2-5%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Storage_Warehousing,Volatility_Level,Low,Low/Medium/High
Storage_Warehousing,Maximum_Drawdown,8%,Maximum acceptable loss percentage
Storage_Warehousing,Hedge_Instruments,Insurance/Diversification,Options/Futures/Diversification/Insurance
Storage_Warehousing,Hedge_Ratio,50%,Percentage of exposure hedged
Storage_Warehousing,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Storage_Warehousing,Revenue_Model,Defensive,Seasonal/Cyclical/Growth/Defensive
Storage_Warehousing,Key_Drivers,"Industrial zone rental rates, e-commerce warehousing demand, cold chain investment, inventory financing partnerships, security costs",Main factors affecting performance
Storage_Warehousing,Market_Sensitivity,Low — storage demand is relatively stable; most sensitive to real estate market and industrial activity levels,Sensitivity to economic conditions
Storage_Warehousing,Annual_Return_Goal,171.28%,Realistic annual return target
Storage_Warehousing,Growth_Phase,Early_Growth,Early_Growth/Maturity/Expansion
Storage_Warehousing,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Storage_Warehousing,Monthly_Running_Cost_Pct,2.5%,Monthly platform fee paid directly by client (2.5% of starting capital). Does not affect trading capital.
Storage_Warehousing,Monthly_Running_Cost_USD,"$3,750.00",Monthly fee in USD paid directly to platform (outside of broker account)
Storage_Warehousing,Annual_Running_Cost_USD,"$45,000.00","Total annual platform fee (12 x monthly). Paid separately, not deducted from trading capital."
Storage_Warehousing,Running_Cost_Breakdown,"Covers warehouse lease, security personnel, racking/shelving infrastructure, utility costs (power backup), and platform usage fees",Key cost line items included in the 8% monthly rate
Storage_Warehousing,Net_Capital_After_Year1_Cost,"$150,000.00",Trading capital remains unchanged. Running costs are paid separately by client and do not impact seed capital.
Storage_Warehousing,Break_Even_Return_Required,96.00%,Minimum gross return needed to cover annual running costs
,,,
Freelance_Services,Starting_Capital_USD,"$52,000.00",Initial investment amount
Freelance_Services,Business_Size,Small,Small/Medium/Large_Enterprise
Freelance_Services,Market_Position,Startup,Startup/Established/Market_Leader
Freelance_Services,Risk_Tolerance,Moderate(5-10%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Freelance_Services,Volatility_Level,Medium,Low/Medium/High
Freelance_Services,Maximum_Drawdown,10%,Maximum acceptable loss percentage
Freelance_Services,Hedge_Instruments,Diversification/Insurance,Options/Futures/Diversification/Insurance
Freelance_Services,Hedge_Ratio,20%,Percentage of exposure hedged
Freelance_Services,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Freelance_Services,Revenue_Model,Growth,Seasonal/Cyclical/Growth/Defensive
Freelance_Services,Key_Drivers,"Client acquisition rate, project pipeline depth, skills premium (AI/software/design), platform fees (Upwork/Toptal), FX conversion (USD earnings to NGN)",Main factors affecting performance
Freelance_Services,Market_Sensitivity,Medium — global freelance demand is growing but project budgets compress during tech sector downturns,Sensitivity to economic conditions
Freelance_Services,Annual_Return_Goal,219.56%,Realistic annual return target
Freelance_Services,Growth_Phase,Early_Growth,Early_Growth/Maturity/Expansion
Freelance_Services,Exit_Strategy,Periodic_Rebalancing,Long-term_Hold/Periodic_Rebalancing
Freelance_Services,Monthly_Running_Cost_Pct,2.5%,Monthly platform fee paid directly by client (2.5% of starting capital). Does not affect trading capital.
Freelance_Services,Monthly_Running_Cost_USD,"$1,300.00",Monthly fee in USD paid directly to platform (outside of broker account)
Freelance_Services,Annual_Running_Cost_USD,"$15,600.00","Total annual platform fee (12 x monthly). Paid separately, not deducted from trading capital."
Freelance_Services,Running_Cost_Breakdown,"Covers software subscriptions, platform commissions, professional development, home office infrastructure, and AI tool deployment costs",Key cost line items included in the 8% monthly rate
Freelance_Services,Net_Capital_After_Year1_Cost,"$52,000.00",Trading capital remains unchanged. Running costs are paid separately by client and do not impact seed capital.
Freelance_Services,Break_Even_Return_Required,96.00%,Minimum gross return needed to cover annual running costs
,,,
